"No.","Delta-time","Time","Source","Destination","Protocol","Length","Info"
"4377","0.000031200","12.759057500","192.168.1.2","20.207.73.82","TCP","66","[TCP Dup ACK 4371#6] 49670  >  443 [ACK] Seq=4066 Ack=77158 Win=65280 Len=0 SLE=78594 SRE=87210"
"4378","0.000026800","12.759084300","192.168.1.2","20.207.73.82","TCP","74","[TCP Dup ACK 4371#7] 49670  >  443 [ACK] Seq=4066 Ack=77158 Win=65280 Len=0 SLE=88646 SRE=89938 SLE=78594 SRE=87210"
"4379","0.000048300","12.759132600","192.168.1.2","20.207.73.82","TCP","66","49670  >  443 [ACK] Seq=4066 Ack=87210 Win=65280 Len=0 SLE=88646 SRE=89938"
"4380","0.000164200","12.759296800","20.207.73.82","192.168.1.2","TCP","1490","[TCP Out-Of-Order] 443  >  49670 [ACK] Seq=87210 Ack=4066 Win=77824 Len=1436 [TCP PDU reassembled in 4401]"
"4381","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TCP","1490","443  >  49670 [ACK] Seq=89938 Ack=4066 Win=77824 Len=1436 [TCP PDU reassembled in 4401]"
"4382","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TCP","1490","[TCP Previous segment not captured] 443  >  49670 [ACK] Seq=92810 Ack=4066 Win=77824 Len=1436 [TCP PDU reassembled in 4401]"
"4383","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TCP","1490","443  >  49670 [ACK] Seq=94246 Ack=4066 Win=77824 Len=1436 [TCP PDU reassembled in 4401]"
"4384","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TCP","1490","[TCP Previous segment not captured] 443  >  49670 [ACK] Seq=97118 Ack=4066 Win=77824 Len=1436 [TCP PDU reassembled in 4401]"
"4385","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TLSv1.2","1490","[TCP Previous segment not captured] , Ignored Unknown Record"
"4386","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TCP","1490","[TCP Out-Of-Order] 443  >  49670 [ACK] Seq=98554 Ack=4066 Win=77824 Len=1436 [TCP PDU reassembled in 4401], Ignored Unknown Record"
"4387","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TCP","1490","[TCP Out-Of-Order] 443  >  49670 [ACK] Seq=91374 Ack=4066 Win=77824 Len=1436 [TCP PDU reassembled in 4401]"
"4388","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TLSv1.2","1490","Ignored Unknown Record"
"4389","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TLSv1.2","1490","Ignored Unknown Record"
